XCoord,YCoord,POINT_X,POINT_Y
1389287.57943057,1137281.25760277,1389287.579430,1137281.257600
1389242.00651394,1137229.17426945,1389242.006510,1137229.174270
1389141.74609724,1137201.83051945,1389141.746100,1137201.830520
1389012.83984722,1137290.37218612,1389012.839850,1137290.372190
1388980.28776391,1137403.65343612,1388980.287760,1137403.653440
1388938.62109722,1137569.01801945,1388938.621100,1137569.018020
1388909.97526389,1137627.61176945,1388909.975260,1137627.611770
1388768.04818057,1137661.46593611,1388768.048180,1137661.465940
1388691.22526391,1137675.78885277,1388691.225260,1137675.788850
1388583.15234724,1137815.11176944,1388583.152350,1137815.111770
1388481.58984725,1137899.74718612,1388481.589850,1137899.747190
1388406.06901389,1137947.92426944,1388406.069010,1137947.924270
1388347.47526389,1138050.78885278,1388347.475260,1138050.788850
1388320.13151392,1138153.65343611,1388320.131510,1138153.653440
1388284.97526391,1138180.99718611,1388284.975260,1138180.997190
1388238.10026394,1138186.20551945,1388238.100260,1138186.205520
1388271.08637503,1138239.15690833,1388271.086380,1138239.156910
1388323.16970834,1138373.70551944,1388323.169710,1138373.705520
1388307.97873612,1138534.29579723,1388307.978740,1138534.295800
1388303.63845834,1138699.22635277,1388303.638460,1138699.226350
1388292.78776389,1138803.39301945,1388292.787760,1138803.393020
1388297.12804165,1138883.68815833,1388297.128040,1138883.688160
1388234.19401389,1138963.98329721,1388234.194010,1138963.983300
1388223.34331943,1139033.42774168,1388223.343320,1139033.427740
1388242.87456943,1139107.21246390,1388242.874570,1139107.212460
1388229.85373612,1139217.88954721,1388229.853740,1139217.889550
1388237.92665280,1138185.94510278,1388237.926650,1138185.945100
1388220.21831945,1138152.61176944,1388220.218320,1138152.611770
1388127.50998613,1138133.34093611,1388127.509990,1138133.340940
1388071.39019446,1138103.30621390,1388071.390190,1138103.306210
1387986.75477777,1138008.90517221,1387986.754780,1138008.905170
1387958.54297224,1137932.95031111,1387958.542970,1137932.950310
1387941.18186115,1137840.71940833,1387941.181860,1137840.719410
1387897.77908331,1137761.50933889,1387897.779080,1137761.509340
1387895.60894446,1137671.44857500,1387895.608940,1137671.448580
1387829.41970833,1137545.58051944,1387829.419710,1137545.580520
1388320.13151394,1138153.65343611,1388320.131510,1138153.653440
1388243.76794328,1138112.01932152,1388243.767940,1138112.019320
1388199.49710993,1138061.67209929,1388199.497110,1138061.672100
1388179.53183220,1137967.48807152,1388179.531830,1137967.488070
1388183.66956368,1137880.59571041,1388183.669560,1137880.595710
1388167.69734144,1137813.92904375,1388167.697340,1137813.929040
1388184.92824422,1137770.83008541,1388184.928240,1137770.830090
1388227.24595258,1137685.10959931,1388227.245950,1137685.109600
1388167.56713308,1137612.40994653,1388167.567130,1137612.409950
1388104.63310534,1137531.02973820,1388104.633110,1137531.029740
1388070.99595259,1137449.64952986,1388070.995950,1137449.649530
1387976.59491089,1137397.56619652,1387976.594910,1137397.566200
1387876.76852201,1137283.63390487,1387876.768520,1137283.633900
1387822.51504982,1137206.59397429,1387822.515050,1137206.593970
1387776.94213308,1137130.63911320,1387776.942130,1137130.639110
1387681.45602199,1137030.81272431,1387681.456020,1137030.812720
1387596.82060534,1136977.64432153,1387596.820610,1136977.644320
1387483.97338310,1136907.11480765,1387483.973380,1136907.114810
1387451.42129980,1136883.24327986,1387451.421300,1136883.243280
1387380.89178586,1136777.99154375,1387380.891790,1136777.991540
1387123.73032755,1136677.08008541,1387123.730330,1136677.080090
1387060.79629980,1136604.38043264,1387060.796300,1136604.380430
1387033.66956367,1136536.02105764,1387033.669560,1136536.021060
1386932.75810535,1136430.76932152,1386932.758110,1136430.769320
1386831.84664702,1136294.05057152,1386831.846650,1136294.050570
1386739.61574423,1136158.41689098,1386739.615740,1136158.416890
1386650.64004976,1136023.86827986,1386650.640050,1136023.868280
1386568.17477196,1135931.63737708,1386568.174770,1135931.637380
1386508.49595253,1135801.42904374,1386508.495950,1135801.429040
1386493.30498031,1135671.22071043,1386493.304980,1135671.220710
1386492.21991090,1135570.30925207,1386492.219910,1135570.309250
1386416.26504980,1135434.67557153,1386416.265050,1135434.675570
1386357.58171852,1135338.19421113,1386357.581720,1135338.194210
1386177.46019077,1135273.09004444,1386177.460190,1135273.090040
1385975.63727406,1135201.47546113,1385975.637270,1135201.475460
1385821.55741298,1135088.62823889,1385821.557410,1135088.628240
1385643.60602409,1134919.35740554,1385643.606020,1134919.357410
1385476.50532965,1134752.25671113,1385476.505330,1134752.256710
1385326.76574630,1134645.91990554,1385326.765750,1134645.919910
1385203.06782965,1134569.96504444,1385203.067830,1134569.965040
1385059.83866298,1134546.09351668,1385059.838660,1134546.093520
1384875.37685740,1134548.26365556,1384875.376860,1134548.263660
1384714.78657964,1134528.73240554,1384714.786580,1134528.732410
1384560.70671852,1134509.20115554,1384560.706720,1134509.201160
1384363.22407962,1134428.90601666,1384363.224080,1134428.906020
1384224.33519077,1134318.22893332,1384224.335190,1134318.228930
1384102.80741300,1134177.16990556,1384102.807410,1134177.169910
1383981.27963518,1134003.55879445,1383981.279640,1134003.558790
1383900.98449630,1133825.60740554,1383900.984500,1133825.607410
1383822.85949633,1133645.48587778,1383822.859500,1133645.485880
1383727.19977409,1133456.68379444,1383727.199770,1133456.683790
1383630.49838518,1133317.75150278,1383630.498390,1133317.751500
